event_id,quantification_approach,data_availability,methodology_notes
JPN_1972_001,market_valuation,high,"Fish killed valued at market price; ¥7.1B JPY; exchange rate conversion to USD"
NOR_1988_001,direct_count,medium,"Direct fish farm losses only; broader ecosystem costs not quantified"
NOR_1991_001,market_valuation,medium,"Tonnage-based valuation; estimates vary 600-742t"
CHL_2016_001,market_valuation,high,"Direct mortality + downstream economic impacts; insurance + industry data"
NOR_2019_001,insurance_claims,high,"2.3-2.9 billion NOK; direct + indirect losses; insurance + industry reports"
CHL_1988_001,market_valuation,medium,"Based on 50% national production loss; approximate USD estimate"
NZL_1989_001,market_valuation,medium,"Aggregate industry loss estimate; conversion rate uncertain"
KOR_1995_001,market_valuation,high,"Well-established $69.5M across multiple sources"
AUS_1996_001,market_valuation,high,"AUD 45M from industry reporting; 75% stock loss basis"
JPN_2010_001,market_valuation,high,"Government fisheries statistics; ¥5.3B JPY"
CHN_2012_001,market_valuation,high,"2.01B CNY from government damage assessment"
USA_2015_001,counterfactual,high,"Compared pre/post landings data; $97.5M = difference in Dungeness crab landings vs prior year"
USA_2005_001,input_output_model,high,"$18M direct + multiplier 4.5x = $46M total; Hoagland methodology"
USA_1987_001,market_valuation,medium,"$24M estimated local economic loss from shellfish closures"
ARE_2008_001,unknown,low,"Fish kill tonnage reported; desalination costs not systematically compiled"
USA_1996_001,unknown,low,"Conservation impact quantified (10% of population); no monetary valuation"
MEX_2016_001,insurance_claims,high,"$42M from insurance records of one company"
USA_2011_001,counterfactual,medium,"$10.3M = drop in Texas oyster landings compared to normal season"
AUS_2012_001,market_valuation,medium,"~AUD $23M total; estimated from production loss during closures"
GBR_2013_001,input_output_model,high,"£1.37M/year ongoing; econometric model: 1% DST change = 0.66% production reduction"
USA_2018_002,counterfactual,high,"$2.7B tourism loss; spline regression on lodging/restaurant revenue vs red tide days; county-level data"
USA_2005_002,counterfactual,high,"Health costs from ER visit counterfactual analysis; illness costs vs K. brevis cell counts"
JPN_1980_001,market_valuation,low,"$135M cumulative 1980-1990; aggregated from annual fisheries statistics"
ESP_2009_001,unknown,low,"Qualitative: costs millions annually; no specific quantification found"
OMN_2008_001,direct_count,medium,"RO 330,000 + RO 140,000 direct plant losses reported; broader costs unknown"
CHL_2021_002,market_valuation,medium,"$11M from industry damage assessment"
NOR_1998_001,market_valuation,medium,"$1.4M from GlobalHAB Table 1.1"
DNK_2019_001,market_valuation,medium,"$1.4M from GlobalHAB Table 1.1"
