"event_id","year","country","species","category","economic_usd","fish_tonnes","human_deaths","data_quality","usd_note"
"USA_2018_002",2018,"United States","Karenia brevis","economic","$2.7B",NA,0,"high",""
"CHL_2016_001",2016,"Chile","Pseudochattonella verruculosa","fish_kill","$800.0M",39000,0,"high",""
"CHN_2012_001",2012,"China","Karenia mikimotoi","fish_kill","$330.0M",NA,0,"medium",""
"NOR_2019_001",2019,"Norway","Chrysochromulina leadbeateri","fish_kill","$300.0M",14500,0,"high",""
"JPN_1980_001",1985,"Japan","Heterosigma akashiwo","fish_kill","$135.0M",NA,0,"low",""
"USA_2015_001",2015,"United States","Pseudo-nitzschia australis","economic","$97.5M",NA,0,"medium",""
"JPN_1972_001",1972,"Japan","Chattonella antiqua","fish_kill","$71.0M",42643,0,"high",""
"KOR_1995_001",1995,"South Korea","Margalefidinium polykrikoides","fish_kill","$69.5M",NA,0,"medium",""
"USA_2014_001",2014,"United States","Microcystis aeruginosa","economic","$65.0M",NA,0,"high",""
"JPN_2010_001",2010,"Japan","Chattonella antiqua","fish_kill","$53.0M",NA,0,"medium",""
"USA_2005_001",2005,"United States","Alexandrium fundyense","economic","$46.0M",NA,0,"medium",""
"MEX_2016_001",2016,"Mexico","Chattonella marina","fish_kill","$42.0M",NA,0,"high",""
"CHN_1998_001",1998,"China","Karenia mikimotoi","fish_kill","$39.0M",NA,0,"medium","converted from HKD at 0.13; 1998 mid-year rate"
"AUS_1996_001",1996,"Australia","Chattonella marina","fish_kill","$35.1M",1700,0,"medium","converted from AUD at 0.78; 1996 mid-year rate"
"CHN_1989_001",1989,"China","Gymnodinium sp.","fish_kill","$30.0M",NA,0,"medium",""
"USA_2002_001",2002,"United States","Pseudo-nitzschia australis","economic","$24.4M",NA,0,"high",""
"USA_1987_001",1987,"United States","Karenia brevis","human_health","$24.0M",NA,0,"medium",""
"AUS_2012_001",2012,"Australia","Gymnodinium catenatum","economic","$23.7M",NA,0,"medium","converted from AUD at 1.03; 2012 mid-year rate"
"USA_2001_002",2001,"United States","Prymnesium parvum","fish_kill","$13.0M",2500,0,"medium",""
"CHL_1988_001",1988,"Chile","Heterosigma akashiwo","fish_kill","$11.0M",10000,0,"medium",""
